Year,Location,State,Region,Latitude,Longitude,VenueType,NearestMajorAirport,DistMajorKm,NearestRegionalAirport,DistRegionalKm,AvgHighJulyF,AvgLowJulyF,AvgHumidityJuly,ElevationFt,AvgRainfallJulyIn,TickRisk,MosquitoRisk,CommonRoom,WalkableResort,Stage,ExclusivelyOurs,AVSetup,BanquetArea,KitchensInUnits,CateredMealsAvail,BBQFacilities,PicnicArea,CampfirePits,HasAC,DisabledAccess,QuietHours,RVParking,EVCharging,ReliableWifi,CellCoverage,SwimmingPool,Beach,Lake,Boating,Playground,GameRoom,Tennis,Spa,HorseRiding,Golf,HikingOnsite,PetFriendly,LaundryFacilities,DistToTownMi,TownWalkable,DistToMiniMartMi,DistToGroceryMi,DistToRestaurantsMi,DistToShoppingMi,DistToThemeParkMi,DistToMuseumMi,DistToNationalParkMi,SeclusionScore,SettingScore,CostPerBedroomPerNight
1995,Shawnee State Park,OH,Midwest,38.733,-83.25,State Park,DTW (Detroit Metro),386.5,0OI9 (Hidden Quarry Airport),21.5,86.3,67.5,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,"The Pines, Bass Lake",CA,West,37.327,-119.574,Resort,SFO (San Francisco Intl),250.2,US-6979 (Italian Bar Airport),20.8,98.1,64.2,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Punderson State Park,OH,Midwest,41.45,-81.2,State Park,DTW (Detroit Metro),197.9,40OH (Bucks Airport),2.9,81.4,62.3,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Whispering Pines Resort,AZ,West,34.4,-111.4,Resort,PHX (Phoenix Sky Harbor),120.6,KPAN (Payson Airport),16.8,90.8,66.9,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Mt. Bachelor Village,OR,West,44.025,-121.34,Village Resort,PDX (Portland Intl),200.2,8OR5 (Pilot Butte Airport),5.7,87.5,53.8,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Blackwater Falls State Park,WV,South,39.1,-79.5,State Park,BWI (Baltimore/Washington),244.9,WV62 (Windwood Fly-In Resort Airport),7.8,87.7,64.8,58.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Mt. Princeton Resort,CO,West,38.733,-106.15,Resort,DEN (Denver Intl),178.2,KAEJ (Central Colorado Regional Airport),9.2,72.5,43.9,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Big Sky,MT,West,45.3,-111.4,Resort,SLC (Salt Lake City Intl),503.3,MT94 (Ousel Falls Airport),8.1,84.2,50.5,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Twin Lake Village,NH,Northeast,43.05,-72.05,Resort,BOS (Boston Logan),114.2,23NH (Windswept Airport),9.4,82.1,61,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Mt. Bachelor Village,OR,West,44.025,-121.34,Village Resort,PDX (Portland Intl),200.2,8OR5 (Pilot Butte Airport),5.7,87.5,53.8,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,Waikiki,HI,Hawaii,21.276,-157.827,Hotel,NHL (Honolulu Daniel K. Inouye Intl),3854.5,PHIK (Hickam Air Force Base),14.2,83.6,74.2,75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
